"site_id","lat","lon","avg_adjusted_revenue","bd_candidate_sites","ScaledRevenue"
"D1436",40.992167,39.770358,21624.0606480042,"bd_candidate",6.18877664664137
"03964",40.209858,28.95,23016.6227204865,"bd_candidate",6.32973108590526
"K6353",39.586553,26.946469,6409.47218574116,"bd_candidate",4.64876358172546
"04509",40.916769,38.389119,10641.017343815,"bd_candidate",5.07707847465724
"K2817",41.255889,36.367056,14323.3707737868,"bd_candidate",5.44980445445355
"A3163",36.758439,31.423389,596.888799379596,"not_candidate",4.06041678692963
"02354",38.422197,27.1548,5466.80340321808,"bd_candidate",4.55334711715432
"02554",38.412219,27.018056,4831.84985514656,"bd_candidate",4.48907743532427
"05323",38.017389,32.018917,419.051571984043,"not_candidate",4.04241619136329
"K2383",40.218917,28.999,7298.94383607019,"bd_candidate",4.73879545907637
"E3322",41.004858,29.20825,2273.62467536753,"not_candidate",4.23013515702155
"K7995",37.926889,40.207831,2337.94514713804,"not_candidate",4.23664564313255
"B2291",39.911778,32.711081,1730.01562080405,"not_candidate",4.1751113193206
"0D965",41.064719,28.65325,779.075118953148,"not_candidate",4.07885759543971
"K6169",36.71025,37.14075,9496.33837205889,"bd_candidate",4.96121463936447
"K6270",39.95825,32.891667,155.267436043761,"not_candidate",4.01571609252899
"02851",36.982608,35.330306,9667.5225937503,"bd_candidate",4.97854182100768
"E6071",38.489031,27.114142,6.5291167662556,"not_candidate",4.00066087394656
"E1628",38.4044,27.159028,1436.05087523427,"not_candidate",4.14535635421425
"03205",36.850308,30.799931,607.111427867762,"not_candidate",4.06145151629274
"02593",38.350528,27.141469,0,"not_candidate",4
"A5412",38.34175,38.305081,4376.18269000778,"bd_candidate",4.44295503186213
"00514",41.051314,29.004408,2258.79949529478,"not_candidate",4.22863455967984
"B2336",38.400278,27.183331,3486.01046931024,"not_candidate",4.35285224312751
"A5229",40.694819,29.619289,7601.46629023191,"bd_candidate",4.76941663118332
"M3795",41.024528,29.1905,421.398859149884,"not_candidate",4.0426537826009
"0D839",41.157192,29.026492,88.3888637763306,"not_candidate",4.00894667676002
"00110",41.078719,29.00425,3716.19619939836,"not_candidate",4.37615152805869
"A5421",38.341919,38.261253,1693.99437986815,"not_candidate",4.17146526725726
"B3260",37.842778,32.516389,5482.90967332606,"bd_candidate",4.55497738579122
"K2816",40.69075,30.269897,2938.89944779078,"not_candidate",4.2974739380758
"0A522",41.026108,28.974858,4294.39711073992,"bd_candidate",4.43467673627059
"E4616",38.902231,40.489719,2750.57736294186,"not_candidate",4.27841207046111
"00B25",41.048778,29.026247,420.570430858906,"not_candidate",4.04256992950197
"A1542",41.112556,29.130108,229.644071883197,"not_candidate",4.02324445855751
"B4095",37.7595,29.0843,3896.54036629213,"not_candidate",4.3944058747922
"04404",39.753222,30.553072,14794.0101557349,"bd_candidate",5.49744233824263
"A6206",41.293108,27.969556,17450.7763354329,"bd_candidate",5.76635888746837
"C2004",39.938108,32.662969,95.9325904016253,"not_candidate",4.00971024901108
"00950",41.020497,28.821942,4845.32071721619,"bd_candidate",4.49044094927237
"000C8",41.021997,28.697858,1411.01877462853,"not_candidate",4.14282261746082
"K4535",38.355167,27.098667,1559.11613631684,"not_candidate",4.15781295863536
"04852",41.188608,32.607669,8713.46745451894,"bd_candidate",4.88197283508271
"A1443",41.004389,29.131858,10004.1956898844,"bd_candidate",5.01261970408274
"00398",41.051461,28.907744,14219.6218973482,"bd_candidate",5.43930304486353
"03382",37.913594,28.344878,4856.28485822022,"bd_candidate",4.49155073416295
"B1473",40.787278,29.382778,9097.88322062993,"bd_candidate",4.92088320742955
"M8426",37.046,37.381389,554.857583742636,"not_candidate",4.05616240822095
"G1318",41.023997,29.031306,2018.71223947044,"not_candidate",4.20433304724614
"K3248",38.459608,43.358969,3264.24929324895,"not_candidate",4.33040568735819
"K8676",38.465719,27.093886,1102.24661466244,"not_candidate",4.11156885324567
"0C623",41.084,28.970667,126.62587967714,"not_candidate",4.01281700846151
"03226",36.888369,30.704742,727.718492657736,"not_candidate",4.07365930330968
"00925",41.067178,28.908089,10474.7264617287,"bd_candidate",5.06024659441122
"00589",41.030889,28.698139,15705.9389865878,"bd_candidate",5.589747320219
"M3285",40.201656,29.057158,2313.34203200286,"not_candidate",4.23415532807475
"0A429",41.129719,29.043081,1054.88771464493,"not_candidate",4.10677520897801
"B4385",39.789719,30.484442,59513.0912251771,"bd_candidate",10.0238854470253
"C1305",40.893575,29.171339,15071.4625424433,"bd_candidate",5.52552593061075
"M1894",38.371997,27.197278,19275.2392450272,"bd_candidate",5.95103011431086
"K3984",39.942528,32.596917,1214.97378946129,"not_candidate",4.12297904172312
"01873",40.027408,32.859556,3802.70945259445,"not_candidate",4.38490835645013
"H2276",37.754806,38.248692,842.094801292646,"not_candidate",4.08523641629249
"K6725",41.182389,28.890833,3961.84605591457,"not_candidate",4.40101608416338
"K2724",38.367397,27.103,1004.94269778794,"not_candidate",4.10171979925214
"00053",41.030019,28.919997,1320.23591026045,"not_candidate",4.13363362115348
"B4254",38.673825,39.222447,16232.0340336592,"bd_candidate",5.6429983988063
"E6096",41.09055,29.027369,72.3099535003148,"not_candidate",4.00731917747168
"K6701",41.030719,28.860806,2889.68781205718,"not_candidate",4.2924927608219
"D1163",40.969306,29.109028,4564.59578887777,"bd_candidate",4.46202611187068
"04699",36.604028,34.306389,872.821678903368,"not_candidate",4.08834657553748
"00003",41.052344,28.978056,357.50911014964,"not_candidate",4.03618689403414
"K7805",38.487831,27.10675,166.548345277184,"not_candidate",4.01685794054194
"K6615",40.871639,29.284108,2051.37243867571,"not_candidate",4.20763889633983
"K4435",40.935192,29.130442,6994.0818477651,"bd_candidate",4.70793748048887
"01669",40.919297,29.216514,2505.24708397674,"not_candidate",4.25357986183695
"K9282",38.499,43.393917,1098.16838613334,"not_candidate",4.11115605698555
"02908",36.988969,35.345331,300.180029963582,"not_candidate",4.03038407309651
"00063",41.003592,28.733206,13701.0049387254,"bd_candidate",5.38680889466373
"M1396",37.933469,40.153969,482.005823726026,"not_candidate",4.04878838936359
"K4365",41.020156,28.890256,2053.04689922317,"not_candidate",4.2078083844023
"E5419",40.777731,29.935828,2955.92010870167,"not_candidate",4.29919676089426
"M4511",41.126667,29.037781,3067.7350207448,"not_candidate",4.31051461059003
"A2438",38.395206,27.044214,1994.46268262299,"not_candidate",4.2018785191821
"B2047",39.902458,32.6954,376.54509059069,"not_candidate",4.0381137064915
"0A499",41.047978,28.920358,898.424996975477,"not_candidate",4.0909381306383
"A4551",37.5538,43.723164,155.179114061627,"not_candidate",4.01570715262195
"G1013",40.905056,29.209,6059.51890550396,"bd_candidate",4.61334148503108
"K1468",39.935778,32.828353,5648.48094387677,"bd_candidate",4.57173642731609
"04866",41.240578,32.691269,11981.8956442325,"bd_candidate",5.2128015082593
"K2336",39.950469,32.633331,2162.42051210848,"not_candidate",4.21887912701346
"K2366",40.292075,29.057389,32.0060384608584,"not_candidate",4.00323963526902
"B3421",37.827778,27.86,12854.6663609651,"bd_candidate",5.30114292543124
"A2874",36.976978,35.3515,481.456424495022,"not_candidate",4.04873277944711
"D1175",41.032778,29.029806,10561.9707449677,"bd_candidate",5.06907741729944
"A1710",39.897017,32.842025,335.623892873314,"not_candidate",4.03397168324367
"A1078",41.090269,29.126039,0,"not_candidate",4
"0A773",41.057817,28.860306,175.990214295425,"not_candidate",4.01781364182045
"B3823",40.191719,29.130664,1810.89531245381,"not_candidate",4.18329792141871
"01196",40.979997,29.070278,5484.53996711721,"bd_candidate",4.55514240331662
"K2512",38.370397,26.875397,3971.87628269246,"not_candidate",4.40203133872122
"M2952",39.901167,32.918997,10006.5286656835,"bd_candidate",5.01285584673094
"E2640",38.493917,27.69775,1020.08362700353,"not_candidate",4.1032523565648
"K2736",38.434389,27.189469,2942.42836739612,"not_candidate",4.2978311335603
"K6880",38.377669,27.175597,2969.40915502172,"not_candidate",4.30056211544313
"0B605",41.064675,28.787719,7833.05469448307,"bd_candidate",4.79285789409453
"K2225",40.995581,39.762219,2205.70836183135,"not_candidate",4.22326070159832
"E5461",38.449917,27.203358,10165.4911186337,"bd_candidate",5.0289459470305
"0A303",41.053542,28.792767,8267.90849801017,"bd_candidate",4.83687357946264
"0E343",41.038028,28.637281,11328.4754767582,"bd_candidate",5.14666264441254
"K7963",40.027081,32.926667,5810.53663847103,"bd_candidate",4.58813962399395
"K6221",39.901692,32.819056,2311.20147432895,"not_candidate",4.23393866189333
"0E436",41.047219,28.967331,11906.1736676702,"bd_candidate",5.205136967513
"B3032",36.910278,30.676667,545.662318291954,"not_candidate",4.0552316680327
"M6181",37.787469,29.085528,230.233575574482,"not_candidate",4.02330412782748
"K6655",40.827778,29.355969,7767.24944603944,"bd_candidate",4.78619711962833
"K3279",38.742858,41.515469,13760.3047941352,"bd_candidate",5.39281119648775
"05357",37.870581,32.490533,2647.90575424871,"not_candidate",4.26801970137564
"K6469",38.496389,43.392306,7465.4759289626,"bd_candidate",4.75565175456002
"00A12",41.092167,29.047389,157.436740234072,"not_candidate",4.01593566841848
"0B891",40.977392,28.821319,71.4733894568406,"not_candidate",4.00723450087594
"M2693",42.025831,35.144942,2541.75976829182,"not_candidate",4.25727565755432
"0D726",41.006389,28.841858,2973.67751479077,"not_candidate",4.30099415669264
"K9559",40.897469,29.171278,9065.65062808088,"bd_candidate",4.91762064046858
"00099",41.065189,28.96155,1029.4320942764,"not_candidate",4.10419860376517
"E2194",36.803019,34.617067,569.741098385248,"not_candidate",4.05766891015876
"E1502",38.323469,27.131228,0,"not_candidate",4
"00255",41.037158,28.834239,532.659466038816,"not_candidate",4.05391552580509
"A2665",38.494389,27.111669,160.267306959077,"not_candidate",4.01622217697232
"02025",39.820339,32.570447,409.533879229108,"not_candidate",4.04145281524392
"E5225",40.987072,29.113417,106.21312114501,"not_candidate",4.01075083921162
"K5842",40.999078,28.820931,15777.4272711586,"bd_candidate",5.59698332877096
"A3464",39.511794,26.973633,6425.76659054957,"bd_candidate",4.65041289326301
"K8771",36.993306,35.382831,618.42929445401,"not_candidate",4.06259710511054
"00A27",41.041028,28.933917,5204.51995992814,"bd_candidate",4.52679891768251
"A2357",38.39975,27.15575,1351.83542306075,"not_candidate",4.13683210809765
"B4786",36.771817,31.4054,8.24056743955006,"not_candidate",4.00083410613114
"K7945",38.398419,27.062108,11880.1261279743,"bd_candidate",5.20250044852071
"K2376",40.182442,29.110556,8103.29269777053,"bd_candidate",4.82021125016668
"B3851",40.2,29.159442,9829.56334563083,"bd_candidate",4.9949435051915
"K1206",41.035358,28.871581,1707.6911724506,"not_candidate",4.17285164977932
"K7697",40.739358,31.623942,257.499161543827,"not_candidate",4.02606393685678
"E1861",39.858667,32.815858,442.482024255352,"not_candidate",4.04478781007017
"A3208",36.650278,31.673889,360.712626217104,"not_candidate",4.03651115233464
"K4891",41.051131,28.879622,5847.73798426789,"bd_candidate",4.59190512568344
"M1736",37.841219,29.050528,442.573777196443,"not_candidate",4.04479709725716
"06285",40.99385,39.665875,2958.99922965355,"not_candidate",4.29950842798312
"000C5",41.058358,28.987719,6301.14798106597,"bd_candidate",4.63779905969056
"K9099",41.039608,28.956192,2459.95237078,"not_candidate",4.24899515353099
"04166",37.428119,29.350539,1811.77832268011,"not_candidate",4.18338729927394
