lng,lat,length
39.770358,40.992167,21624.06065
28.95,40.209858,23016.62272
26.946469,39.586553,6409.472186
38.389119,40.916769,10641.01734
36.367056,41.255889,14323.37077
31.423389,36.758439,596.8887994
27.1548,38.422197,5466.803403
27.018056,38.412219,4831.849855
32.018917,38.017389,419.051572
28.999,40.218917,7298.943836
29.20825,41.004858,2273.624675
40.207831,37.926889,2337.945147
32.711081,39.911778,1730.015621
28.65325,41.064719,779.075119
37.14075,36.71025,9496.338372
32.891667,39.95825,155.267436
35.330306,36.982608,9667.522594
27.114142,38.489031,6.529116766
27.159028,38.4044,1436.050875
30.799931,36.850308,607.1114279
27.141469,38.350528,0
38.305081,38.34175,4376.18269
29.004408,41.051314,2258.799495
27.183331,38.400278,3486.010469
29.619289,40.694819,7601.46629
29.1905,41.024528,421.3988591
29.026492,41.157192,88.38886378
29.00425,41.078719,3716.196199
38.261253,38.341919,1693.99438
32.516389,37.842778,5482.909673
30.269897,40.69075,2938.899448
28.974858,41.026108,4294.397111
40.489719,38.902231,2750.577363
29.026247,41.048778,420.5704309
29.130108,41.112556,229.6440719
29.0843,37.7595,3896.540366
30.553072,39.753222,14794.01016
27.969556,41.293108,17450.77634
32.662969,39.938108,95.9325904
28.821942,41.020497,4845.320717
28.697858,41.021997,1411.018775
27.098667,38.355167,1559.116136
32.607669,41.188608,8713.467455
29.131858,41.004389,10004.19569
28.907744,41.051461,14219.6219
28.344878,37.913594,4856.284858
29.382778,40.787278,9097.883221
37.381389,37.046,554.8575837
29.031306,41.023997,2018.712239
43.358969,38.459608,3264.249293
27.093886,38.465719,1102.246615
28.970667,41.084,126.6258797
30.704742,36.888369,727.7184927
28.908089,41.067178,10474.72646
28.698139,41.030889,15705.93899
29.057158,40.201656,2313.342032
29.043081,41.129719,1054.887715
30.484442,39.789719,59513.09123
29.171339,40.893575,15071.46254
27.197278,38.371997,19275.23925
32.596917,39.942528,1214.973789
32.859556,40.027408,3802.709453
38.248692,37.754806,842.0948013
28.890833,41.182389,3961.846056
27.103,38.367397,1004.942698
28.919997,41.030019,1320.23591
39.222447,38.673825,16232.03403
29.027369,41.09055,72.3099535
28.860806,41.030719,2889.687812
29.109028,40.969306,4564.595789
34.306389,36.604028,872.8216789
28.978056,41.052344,357.5091101
27.10675,38.487831,166.5483453
29.284108,40.871639,2051.372439
29.130442,40.935192,6994.081848
29.216514,40.919297,2505.247084
43.393917,38.499,1098.168386
35.345331,36.988969,300.18003
28.733206,41.003592,13701.00494
40.153969,37.933469,482.0058237
28.890256,41.020156,2053.046899
29.935828,40.777731,2955.920109
29.037781,41.126667,3067.735021
27.044214,38.395206,1994.462683
32.6954,39.902458,376.5450906
28.920358,41.047978,898.424997
43.723164,37.5538,155.1791141
29.209,40.905056,6059.518906
32.828353,39.935778,5648.480944
32.691269,41.240578,11981.89564
32.633331,39.950469,2162.420512
29.057389,40.292075,32.00603846
27.86,37.827778,12854.66636
35.3515,36.976978,481.4564245
29.029806,41.032778,10561.97074
32.842025,39.897017,335.6238929
29.126039,41.090269,0
28.860306,41.057817,175.9902143
29.130664,40.191719,1810.895312
29.070278,40.979997,5484.539967
26.875397,38.370397,3971.876283
32.918997,39.901167,10006.52867
27.69775,38.493917,1020.083627
27.189469,38.434389,2942.428367
27.175597,38.377669,2969.409155
28.787719,41.064675,7833.054694
39.762219,40.995581,2205.708362
27.203358,38.449917,10165.49112
28.792767,41.053542,8267.908498
28.637281,41.038028,11328.47548
32.926667,40.027081,5810.536638
32.819056,39.901692,2311.201474
28.967331,41.047219,11906.17367
30.676667,36.910278,545.6623183
29.085528,37.787469,230.2335756
29.355969,40.827778,7767.249446
41.515469,38.742858,13760.30479
32.490533,37.870581,2647.905754
43.392306,38.496389,7465.475929
29.047389,41.092167,157.4367402
28.821319,40.977392,71.47338946
35.144942,42.025831,2541.759768
28.841858,41.006389,2973.677515
29.171278,40.897469,9065.650628
28.96155,41.065189,1029.432094
34.617067,36.803019,569.7410984
27.131228,38.323469,0
28.834239,41.037158,532.659466
27.111669,38.494389,160.267307
32.570447,39.820339,409.5338792
29.113417,40.987072,106.2131211
28.820931,40.999078,15777.42727
26.973633,39.511794,6425.766591
35.382831,36.993306,618.4292945
28.933917,41.041028,5204.51996
27.15575,38.39975,1351.835423
31.4054,36.771817,8.24056744
27.062108,38.398419,11880.12613
29.110556,40.182442,8103.292698
29.159442,40.2,9829.563346
28.871581,41.035358,1707.691172
31.623942,40.739358,257.4991615
32.815858,39.858667,442.4820243
31.673889,36.650278,360.7126262
28.879622,41.051131,5847.737984
29.050528,37.841219,442.5737772
39.665875,40.99385,2958.99923
28.987719,41.058358,6301.147981
28.956192,41.039608,2459.952371
29.350539,37.428119,1811.778323
30.704575,36.893289,2858.607827
29.131667,41.023889,6500.168276
27.403719,37.752167,8989.045273
36.238556,41.346969,1697.821775
28.870414,41.038608,27276.40531
28.615358,40.990192,8566.343904
29.026397,41.076881,170.8697707
26.412,38.314192,1161.157212
28.967664,40.209914,1090.432824
28.826244,41.031394,7066.970358
27.98745,40.332919,207.7317224
29.214389,40.906528,2446.191107
30.403081,40.774556,1095.732931
27.2589,39.929997,34700.6265
27.166667,38.470556,5416.424026
29.252081,40.967442,1007.06306
29.15075,40.987692,8245.868566
29.109608,40.176497,10485.8799
29.227219,40.876108,12925.4357
28.8614,41.028097,7438.23037
30.663331,36.900556,4467.698876
29.24265,40.991875,1220.507097
30.659267,36.896692,5192.549997
30.156028,41.070858,4658.424703
28.990219,41.167167,131.1436474
32.815608,39.918303,938.3495346
44.070556,39.556389,6283.249717
30.654719,36.938419,803.7140613
28.948417,41.028556,3813.006688
30.670808,36.88745,1733.524413
34.478956,40.733167,45.96672394
28.802028,41.083028,6723.142866
37.316081,37.047331,2722.688746
